Unnamed: 0,name,address,lat,lon
2,,16039 FM 226 ETOILE TX 75944,31.38626,-94.43568
4,,715 MAIN ST CHIRENO TX 75937,31.49907,-94.35158
6,,5263 FM 226 WODEN TX 75978,31.50403,-94.52876
8,,553 TERRY CRAWFORD DR. (OFF SH 7W) NACOGDOCHES TX 75961,31.57903,-94.70441
10,,4931 E. MAIN ST. NACOGDOCHES TX 75961,31.58408,-94.60421
12,,420 S SHAWNEE NACOGDOCHES TX 75961,31.59669,-94.64786
14,,621 HARRIS STREET NACOGDOCHES TX 75964,31.59711,-94.66832
16,,1112 NORTH STREET NACOGDOCHES TX 75961,31.61282,-94.65198
18,,3805 NW STALLINGS DR. NACOGDOCHES TX 75961,31.63689,-94.68711
20,,3914 NORTH STREET NACOGDOCHES TX 75965,31.64087,-94.65303
22,,12952 ST HWY 7 E NACOGDOCHES TX 75961,31.64191,-94.41542
24,,3732 NE STALLINGS DR. NACOGDOCHES TX 75965,31.64893,-94.62858
26,,15122 W STATE HWY 21 DOUGLASS TX 75943,31.67023,-94.87868
28,,10317 HWY N US HWY 259 NACOGDOCHES TX 75965,31.70868,-94.68271
30,,429 HAPPYLAND RD. NACOGDOCHES TX 75965,31.7104,-94.59939
32,,720 SEVENTH ST. CUSHING TX 75760,31.81398,-94.84086
34,,275 W MAGNOLIA ST GARRISON TX 75946,31.82564,-94.49225
