Unnamed: 0,name,address,lat,lon
1,,460 FISHER ST. NEW WAVERLY TX 77358,30.53522,-95.47941
3,,634 CHERRY HILLS HUNTSVILLE TX 77340,30.66356,-95.52986
5,,1987 VETERANS MEMORIAL PKWY HUNTSVILLE TX 77340,30.68216,-95.5534
7,,13 DORRELL RD HUNTSVILLE TX 77340,30.69573,-95.44459
9,,3925 S H 30 W HUNTSVILLE TX 77340,30.6985,-95.61594
11,,2400 SYCAMORE AVE HUNTSVILLE TX 77340,30.70752,-95.53934
13,,1135 US 190 HUNTSVILLE TX 77340,30.71094,-95.50712
15,,1936 A S H 75 N HUNTSVILLE TX 77320,30.72545,-95.56153
17,,95 MARTIN LUTHER KING DR HUNTSVILLE TX 77320,30.73409,-95.54213
19,,455 S H 75 N HUNTSVILLE TX 77320,30.73598,-95.58289
21,,1207 FM 980 HUNTSVILLE TX 77320,30.83144,-95.52216
23,,2341 FM 980 HUNTSVILLE TX 77320,30.85333,-95.4016
